,uniqueid,phase,annotations,image_name,pid,dl,exp,habit,vehicle_ids
0,debug0x6ex:debugUucEn,INSTRUCTIONS,[],,,,,,
1,debug0x6ex:debugUucEn,INSTRUCTIONS,[],,,,,,
2,debug0x6ex:debugUucEn,INSTRUCTIONS,[],,,,,,
3,debug0x6ex:debugUucEn,INSTRUCTIONS,[],,,,,,
4,debug0x6ex:debugUucEn,INSTRUCTIONS,[],,,,,,
5,debug0x6ex:debugUucEn,drivingquestionnaire,[],,,,,,
6,debug0x6ex:debugUucEn,drivingquestionnaire,[],,631c8e97db06f601f81bd82f,True,More than 5 Year,More than 10 hours,
7,debug0x6ex:debugUucEn,TRIAL,"[[525.5, 131.703125, 85.0, 102.0]]",trial_1.png,,,,,
8,debug0x6ex:debugUucEn,TRIAL,"[[620.0, 253.9375, 42.0, 71.0]]",trial_2.png,,,,,
9,debug0x6ex:debugUucEn,TRIAL,"[[663.5, 278.625, 35.0, 69.0]]",image_0_31_18167.png,,,,, 864 
10,debug0x6ex:debugUucEn,TRIAL,"[[618.5, 99.625, 47.0, 91.0], [583.5, 201.625, 32.0, 55.0]]",image_1_2_7994.png,,,,, 409 414 
11,debug0x6ex:debugUucEn,TRIAL,"[[624.5, 255.625, 37.0, 68.0]]",image_3_14_3461.png,,,,, 244 
12,debug0x6ex:debugUucEn,TRIAL,"[[660.5, 327.625, 35.0, 67.0], [621.5, 109.625, 39.0, 88.0]]",image_2_31_18815.png,,,,, 882 864 
13,debug0x6ex:debugUucEn,TRIAL,"[[619.0, 220.625, 45.0, 80.0]]",image_5_19_29899.png,,,,, 827 
14,debug0x6ex:debugUucEn,TRIAL,"[[620.5, 232.625, 43.0, 66.0]]",image_2_31_7149.png,,,,, 403 
15,debug0x6ex:debugUucEn,TRIAL,"[[623.5, 214.625, 34.0, 88.0]]",image_2_9_5440.png,,,,, 306 
16,debug0x6ex:debugUucEn,TRIAL,"[[555.5, 196.625, 62.0, 67.0], [588.5, 162.625, 50.0, 28.0]]",image_1_24_22956.png,,,,, 1122 214 
17,debug0x6ex:debugUucEn,TRIAL,"[[620.0, 249.625, 44.0, 77.0]]",image_1_19_19083.png,,,,, 618 
18,debug0x6ex:debugUucEn,TRIAL,[],image_0_24_11000.png,,,,, 
19,debug0x6ex:debugUucEn,TRIAL,[],image_3_24_10256.png,,,,, 
20,debug0x6ex:debugUucEn,TRIAL,[],image_3_31_19900.png,,,,, 
21,debug0x6ex:debugUucEn,TRIAL,[],image_3_9_2363.png,,,,, 
22,debug0x6ex:debugUucEn,postquestionnaire,[],,,,,,
