,uniqueid,phase,annotations,image_name,pid,dl,exp,habit,vehicle_ids
0,debugYBMAy:debug82MDB,INSTRUCTIONS,[],,,,,,
1,debugYBMAy:debug82MDB,INSTRUCTIONS,[],,,,,,
2,debugYBMAy:debug82MDB,INSTRUCTIONS,[],,,,,,
3,debugYBMAy:debug82MDB,INSTRUCTIONS,[],,,,,,
4,debugYBMAy:debug82MDB,INSTRUCTIONS,[],,,,,,
5,debugYBMAy:debug82MDB,drivingquestionnaire,[],,,,,,
6,debugYBMAy:debug82MDB,drivingquestionnaire,[],,5edecbfb873bba18695bb7c9,True,More than 10 Years,More than 15 hours,
7,debugYBMAy:debug82MDB,TRIAL,"[[531.0, 141.0, 76.0, 81.0]]",trial_1.png,,,,,
8,debugYBMAy:debug82MDB,TRIAL,[],trial_2.png,,,,,
9,debugYBMAy:debug82MDB,TRIAL,"[[581.0, 332.0, 41.0, 77.0]]",image_1_24_95.png,,,,, 232 
10,debugYBMAy:debug82MDB,TRIAL,[],image_0_14_2.png,,,,, 
11,debugYBMAy:debug82MDB,TRIAL,"[[614.0, 251.0, 45.0, 73.0], [586.0, 332.0, 34.0, 64.0], [585.0, 166.0, 34.0, 65.0]]",image_0_24_20827.png,,,,, 1122 1176 1177 
12,debugYBMAy:debug82MDB,TRIAL,"[[623.0, 250.0, 35.0, 61.0], [664.0, 279.0, 33.0, 62.0], [656.0, 528.0, 40.0, 63.0]]",image_4_31_4878.png,,,,, 334 335 370 
13,debugYBMAy:debug82MDB,TRIAL,"[[618.0, 258.0, 40.0, 65.0]]",image_0_24_13286.png,,,,, 875 
14,debugYBMAy:debug82MDB,TRIAL,[],image_0_24_2522.png,,,,, 
15,debugYBMAy:debug82MDB,TRIAL,"[[603.0, 233.0, 51.0, 72.0]]",image_2_19_29592.png,,,,, 737 
16,debugYBMAy:debug82MDB,TRIAL,"[[567.0, 212.0, 51.0, 73.0]]",image_3_24_31496.png,,,,, 1510 
17,debugYBMAy:debug82MDB,TRIAL,[],image_1_2_1657.png,,,,, 
18,debugYBMAy:debug82MDB,TRIAL,"[[587.0, 140.0, 47.0, 67.0], [640.0, 284.0, 51.0, 46.0]]",image_2_14_2574.png,,,,, 250 178 
19,debugYBMAy:debug82MDB,TRIAL,"[[585.0, 276.0, 33.0, 68.0]]",image_0_24_4221.png,,,,, 510 
20,debugYBMAy:debug82MDB,TRIAL,[],image_2_24_19211.png,,,,, 
21,debugYBMAy:debug82MDB,TRIAL,"[[589.0, 340.0, 36.0, 60.0]]",image_3_31_1419.png,,,,, 257 
22,debugYBMAy:debug82MDB,TRIAL,"[[617.0, 259.0, 43.0, 66.0], [733.0, 157.0, 98.0, 43.0]]",image_4_19_15605.png,,,,, 549 579 
23,debugYBMAy:debug82MDB,TRIAL,"[[625.0, 229.0, 55.0, 55.0]]",trial_3.png,,,,,
24,debugYBMAy:debug82MDB,postquestionnaire,[],,,,,,
25,debugYBMAy:debug82MDB,postquestionnaire,[],,,,,,
26,debugdMP4x:debugRsLQR,INSTRUCTIONS,[],,,,,,
27,debugdMP4x:debugRsLQR,INSTRUCTIONS,[],,,,,,
28,debugdMP4x:debugRsLQR,INSTRUCTIONS,[],,,,,,
29,debugdMP4x:debugRsLQR,INSTRUCTIONS,[],,,,,,
30,debugdMP4x:debugRsLQR,INSTRUCTIONS,[],,,,,,
31,debugdMP4x:debugRsLQR,drivingquestionnaire,[],,,,,,
32,debugdMP4x:debugRsLQR,drivingquestionnaire,[],,5a5f8cc7eedc32000142dcc3,True,More than 15 Years,More than 15 hours,
33,debugdMP4x:debugRsLQR,TRIAL,"[[515.0, 134.0, 98.0, 97.0]]",trial_1.png,,,,,
34,debugdMP4x:debugRsLQR,TRIAL,[],trial_2.png,,,,,
35,debugdMP4x:debugRsLQR,TRIAL,"[[675.0, 212.0, 29.0, 82.0]]",image_2_24_27726.png,,,,, 1261 
36,debugdMP4x:debugRsLQR,TRIAL,"[[650.0, 294.0, 54.0, 90.0]]",image_0_31_11611.png,,,,, 527 
37,debugdMP4x:debugRsLQR,TRIAL,"[[580.0, 237.0, 40.0, 91.0], [658.0, 368.0, 40.0, 86.0], [576.0, 401.0, 55.0, 84.0]]",image_1_31_2525.png,,,,, 260 267 265 
38,debugdMP4x:debugRsLQR,TRIAL,"[[616.0, 229.0, 54.0, 99.0]]",image_0_9_4405.png,,,,, 292 
39,debugdMP4x:debugRsLQR,TRIAL,"[[576.0, 321.0, 46.0, 89.0]]",image_4_24_12273.png,,,,, 963 
40,debugdMP4x:debugRsLQR,TRIAL,"[[607.0, 231.0, 57.0, 82.0]]",image_2_24_15974.png,,,,, 1074 
41,debugdMP4x:debugRsLQR,TRIAL,"[[618.0, 442.0, 46.0, 86.0], [617.0, 576.0, 50.0, 73.0]]",image_0_24_23291.png,,,,, 1239 1240 
42,debugdMP4x:debugRsLQR,TRIAL,"[[616.0, 490.0, 60.0, 78.0]]",image_2_24_19211.png,,,,, 1152 
43,debugdMP4x:debugRsLQR,TRIAL,"[[615.0, 259.0, 51.0, 63.0], [613.0, 463.0, 56.0, 71.0]]",image_3_14_3461.png,,,,, 244 257 
44,debugdMP4x:debugRsLQR,TRIAL,"[[650.0, 255.0, 47.0, 84.0], [705.0, 257.0, 34.0, 82.0]]",image_1_31_11986.png,,,,, 527 528 
45,debugdMP4x:debugRsLQR,TRIAL,"[[610.0, 311.0, 51.0, 88.0]]",image_4_31_5219.png,,,,, 
46,debugdMP4x:debugRsLQR,TRIAL,"[[617.0, 242.0, 48.0, 81.0]]",image_3_19_19917.png,,,,, 618 
47,debugdMP4x:debugRsLQR,TRIAL,"[[613.0, 241.0, 53.0, 79.0]]",image_1_19_30578.png,,,,, 833 
48,debugdMP4x:debugRsLQR,TRIAL,"[[620.0, 248.0, 41.0, 73.0]]",image_3_31_3839.png,,,,, 264 
49,debugdMP4x:debugRsLQR,TRIAL,"[[661.0, 144.0, 52.0, 44.0]]",image_0_24_21680.png,,,,, 210 
50,debugdMP4x:debugRsLQR,TRIAL,"[[627.0, 230.0, 64.0, 57.0]]",trial_3.png,,,,,
51,debugdMP4x:debugRsLQR,postquestionnaire,[],,,,,,
52,debugdMP4x:debugRsLQR,postquestionnaire,[],,,,,,
53,debughV15C:debughnXUg,INSTRUCTIONS,[],,,,,,
54,debughV15C:debughnXUg,INSTRUCTIONS,[],,,,,,
55,debughV15C:debughnXUg,INSTRUCTIONS,[],,,,,,
56,debughV15C:debughnXUg,INSTRUCTIONS,[],,,,,,
57,debughV15C:debughnXUg,INSTRUCTIONS,[],,,,,,
58,debughV15C:debughnXUg,drivingquestionnaire,[],,,,,,
59,debughV15C:debughnXUg,drivingquestionnaire,[],,60fd032975f48d086e0ff4c7,True,More than 1 Year,More than 5 hours,
60,debughV15C:debughnXUg,TRIAL,[],trial_1.png,,,,,
61,debughV15C:debughnXUg,TRIAL,"[[625.0, 197.0, 41.0, 65.0], [583.0, 344.0, 34.0, 74.0]]",image_2_24_11562.png,,,,, 875 951 
62,debughV15C:debughnXUg,TRIAL,"[[609.0, 235.0, 44.0, 70.0]]",image_2_19_29592.png,,,,, 737 
63,debughV15C:debughnXUg,TRIAL,"[[663.0, 278.0, 32.0, 69.0], [625.0, 234.0, 29.0, 71.0]]",image_1_31_3540.png,,,,, 260 264 
64,debughV15C:debughnXUg,TRIAL,"[[657.0, 229.0, 39.0, 60.0]]",image_0_31_17225.png,,,,, 822 
65,debughV15C:debughnXUg,TRIAL,"[[576.0, 393.0, 44.0, 75.0], [630.0, 181.0, 33.0, 73.0], [592.0, 216.0, 30.0, 68.0]]",image_2_19_32832.png,,,,, 945 833 909 
66,debughV15C:debughnXUg,TRIAL,"[[620.0, 238.0, 39.0, 76.0], [649.0, 293.0, 31.0, 39.0]]",image_2_24_31131.png,,,,, 1469 211 
67,debughV15C:debughnXUg,TRIAL,"[[495.0, 360.0, 66.0, 39.0]]",image_0_19_29738.png,,,,, 828 
68,debughV15C:debughnXUg,TRIAL,"[[620.0, 267.0, 38.0, 58.0], [621.0, 460.0, 35.0, 68.0]]",image_1_2_10516.png,,,,, 433 440 
69,debughV15C:debughnXUg,TRIAL,"[[624.0, 271.0, 29.0, 53.0]]",image_2_19_6578.png,,,,, 395 
70,debughV15C:debughnXUg,TRIAL,"[[624.0, 256.0, 39.0, 34.0]]",image_2_14_5386.png,,,,, 177 
71,debughV15C:debughnXUg,TRIAL,[],image_2_19_10778.png,,,,, 
72,debughV15C:debughnXUg,TRIAL,[],image_2_2_1486.png,,,,, 
73,debughV15C:debughnXUg,TRIAL,"[[621.0, 198.0, 35.0, 88.0], [573.0, 161.0, 42.0, 65.0]]",image_2_2_8304.png,,,,, 409 421 
74,debughV15C:debughnXUg,TRIAL,"[[663.0, 277.0, 32.0, 68.0], [624.0, 252.0, 33.0, 61.0]]",image_4_31_4878.png,,,,, 335 334 
75,debughV15C:debughnXUg,TRIAL,"[[434.0, 391.0, 48.0, 65.0], [628.0, 477.0, 44.0, 66.0], [630.0, 214.0, 31.0, 67.0]]",image_1_31_391.png,,,,, 230 201 198 
76,debughV15C:debughnXUg,TRIAL,"[[637.0, 234.0, 42.0, 46.0]]",trial_3.png,,,,,
77,debughV15C:debughnXUg,postquestionnaire,[],,,,,,
78,debughV15C:debughnXUg,postquestionnaire,[],,,,,,
79,debugOMAz4:debugfzw9y,INSTRUCTIONS,[],,,,,,
80,debugOMAz4:debugfzw9y,INSTRUCTIONS,[],,,,,,
81,debugOMAz4:debugfzw9y,INSTRUCTIONS,[],,,,,,
82,debugOMAz4:debugfzw9y,INSTRUCTIONS,[],,,,,,
83,debugOMAz4:debugfzw9y,INSTRUCTIONS,[],,,,,,
84,debugOMAz4:debugfzw9y,drivingquestionnaire,[],,,,,,
85,debugOMAz4:debugfzw9y,drivingquestionnaire,[],,5b46bf9874d69400016e8af3,True,More than 15 Years,More than 5 hours,
86,debugOMAz4:debugfzw9y,TRIAL,"[[392.0, 32.0, 31.0, 40.0], [524.0, 132.0, 77.0, 83.0]]",trial_1.png,,,,,
87,debugOMAz4:debugfzw9y,TRIAL,"[[373.0, 4.0, 47.0, 33.0], [621.0, 260.0, 36.0, 63.0]]",trial_2.png,,,,,
88,debugOMAz4:debugfzw9y,TRIAL,"[[625.0, 258.0, 32.0, 68.0]]",image_3_19_15227.png,,,,, 549 
89,debugOMAz4:debugfzw9y,TRIAL,"[[625.0, 253.0, 34.0, 59.0], [664.0, 279.0, 32.0, 62.0]]",image_4_31_4878.png,,,,, 334 335 
90,debugOMAz4:debugfzw9y,TRIAL,"[[545.0, 303.0, 62.0, 26.0]]",image_2_19_27005.png,,,,, 782 
91,debugOMAz4:debugfzw9y,TRIAL,"[[584.0, 43.0, 46.0, 82.0], [620.0, 490.0, 31.0, 75.0], [624.0, 223.0, 33.0, 61.0]]",image_1_31_1014.png,,,,, 243 240 198 
92,debugOMAz4:debugfzw9y,TRIAL,"[[366.0, 156.0, 80.0, 38.0], [570.0, 207.0, 47.0, 63.0], [780.0, 117.0, 56.0, 34.0]]",image_0_24_30409.png,,,,, 1477 1475 
93,debugOMAz4:debugfzw9y,TRIAL,"[[619.0, 200.0, 40.0, 81.0]]",image_2_2_8304.png,,,,, 409 
94,debugOMAz4:debugfzw9y,TRIAL,"[[433.0, 142.0, 62.0, 44.0], [772.0, 162.0, 65.0, 39.0], [825.0, 243.0, 43.0, 46.0], [396.0, 46.0, 37.0, 40.0]]",image_0_19_11150.png,,,,, 505 496 212 
95,debugOMAz4:debugfzw9y,TRIAL,"[[578.0, 287.0, 45.0, 74.0], [581.0, 55.0, 37.0, 69.0], [585.0, 162.0, 34.0, 68.0]]",image_0_19_24051.png,,,,, 725 738 726 
96,debugOMAz4:debugfzw9y,TRIAL,"[[614.0, 93.0, 46.0, 78.0], [666.0, 138.0, 36.0, 51.0]]",image_0_24_21680.png,,,,, 1122 210 
97,debugOMAz4:debugfzw9y,TRIAL,"[[661.0, 120.0, 35.0, 99.0], [616.0, 117.0, 40.0, 78.0], [660.0, 326.0, 35.0, 76.0], [624.0, 507.0, 32.0, 69.0]]",image_2_31_18815.png,,,,, 877 864 882 878 
98,debugOMAz4:debugfzw9y,TRIAL,"[[621.0, 256.0, 40.0, 68.0], [621.0, 445.0, 35.0, 70.0], [583.0, 289.0, 35.0, 69.0]]",image_1_24_962.png,,,,, 258 281 232 
99,debugOMAz4:debugfzw9y,TRIAL,"[[511.0, 414.0, 50.0, 71.0], [575.0, 239.0, 40.0, 60.0], [635.0, 179.0, 35.0, 68.0]]",image_1_31_594.png,,,,, 240 235 198 
100,debugOMAz4:debugfzw9y,TRIAL,"[[574.0, 33.0, 47.0, 105.0], [623.0, 183.0, 33.0, 63.0]]",image_2_14_3208.png,,,,, 265 244 
101,debugOMAz4:debugfzw9y,TRIAL,"[[619.0, 516.0, 42.0, 76.0], [581.0, 401.0, 30.0, 68.0]]",image_0_9_409.png,,,,, 231 236 
102,debugOMAz4:debugfzw9y,TRIAL,"[[734.0, 150.0, 96.0, 53.0], [437.0, 186.0, 83.0, 52.0], [618.0, 263.0, 40.0, 66.0], [582.0, 50.0, 37.0, 59.0]]",image_4_19_15605.png,,,,, 579 580 549 578 
103,debugOMAz4:debugfzw9y,TRIAL,"[[633.0, 234.0, 52.0, 51.0]]",trial_3.png,,,,,
104,debugOMAz4:debugfzw9y,postquestionnaire,[],,,,,,
105,debugOMAz4:debugfzw9y,postquestionnaire,[],,,,,,
106,debugOsftt:debugxXsgG,INSTRUCTIONS,[],,,,,,
107,debugOsftt:debugxXsgG,INSTRUCTIONS,[],,,,,,
108,debugOsftt:debugxXsgG,INSTRUCTIONS,[],,,,,,
109,debugOsftt:debugxXsgG,INSTRUCTIONS,[],,,,,,
110,debugOsftt:debugxXsgG,INSTRUCTIONS,[],,,,,,
111,debugOsftt:debugxXsgG,drivingquestionnaire,[],,,,,,
112,debugOsftt:debugxXsgG,drivingquestionnaire,[],,debug,True,More than 15 Years,More than 15 hours,
113,debugqfNOu:debugPHD9C,INSTRUCTIONS,[],,,,,,
114,debugqfNOu:debugPHD9C,INSTRUCTIONS,[],,,,,,
115,debugqfNOu:debugPHD9C,INSTRUCTIONS,[],,,,,,
116,debugqfNOu:debugPHD9C,INSTRUCTIONS,[],,,,,,
117,debugqfNOu:debugPHD9C,INSTRUCTIONS,[],,,,,,
118,debugqfNOu:debugPHD9C,drivingquestionnaire,[],,,,,,
119,debugqfNOu:debugPHD9C,drivingquestionnaire,[],,6172b8bcb0ca871db44b71c9,False,More than 10 Years,More than 15 hours,
120,debugqfNOu:debugPHD9C,TRIAL,[],trial_1.png,,,,,
121,debugqfNOu:debugPHD9C,TRIAL,"[[624.0, 333.0, 40.0, 55.0], [476.0, 115.0, 14.0, 21.0]]",trial_2.png,,,,,
122,debugqfNOu:debugPHD9C,TRIAL,"[[584.0, 384.0, 33.0, 79.0], [685.0, 696.0, 31.0, 24.0]]",image_1_2_10672.png,,,,, 453 
123,debugqfNOu:debugPHD9C,TRIAL,"[[514.0, 29.0, 28.0, 47.0], [578.0, 120.0, 42.0, 96.0]]",image_2_2_5681.png,,,,, 386 
124,debugqfNOu:debugPHD9C,TRIAL,"[[880.0, 279.0, 65.0, 39.0], [557.0, 198.0, 36.0, 50.0]]",image_0_14_2423.png,,,,, 178 
125,debugqfNOu:debugPHD9C,TRIAL,"[[200.0, 435.0, 109.0, 73.0]]",image_3_24_176.png,,,,, 259 
126,debugqfNOu:debugPHD9C,TRIAL,"[[625.0, 322.0, 35.0, 75.0], [783.0, 538.0, 48.0, 60.0]]",image_2_31_18815.png,,,,, 
127,debugqfNOu:debugPHD9C,TRIAL,"[[419.0, 147.0, 48.0, 78.0], [715.0, 274.0, 145.0, 71.0]]",image_4_19_15754.png,,,,, 216 582 
128,debugqfNOu:debugPHD9C,TRIAL,"[[607.0, 297.0, 76.0, 147.0]]",image_1_31_181.png,,,,, 
129,debugqfNOu:debugPHD9C,TRIAL,"[[390.0, 391.0, 64.0, 95.0], [619.0, 323.0, 40.0, 90.0]]",image_5_31_13665.png,,,,, 
130,debugqfNOu:debugPHD9C,TRIAL,"[[714.0, 143.0, 38.0, 21.0], [615.0, 325.0, 68.0, 83.0]]",image_2_24_8418.png,,,,, 
131,debugqfNOu:debugPHD9C,TRIAL,"[[624.0, 328.0, 36.0, 88.0], [741.0, 593.0, 29.0, 38.0]]",image_1_31_12329.png,,,,, 
132,debugqfNOu:debugPHD9C,TRIAL,"[[615.0, 311.0, 47.0, 102.0], [811.0, 234.0, 46.0, 51.0]]",image_3_31_5719.png,,,,, 
133,debugqfNOu:debugPHD9C,TRIAL,"[[618.0, 321.0, 137.0, 89.0]]",image_3_31_11130.png,,,,, 
134,debugqfNOu:debugPHD9C,TRIAL,"[[608.0, 313.0, 82.0, 103.0]]",image_3_19_25353.png,,,,, 
135,debugqfNOu:debugPHD9C,TRIAL,"[[610.0, 324.0, 75.0, 72.0], [840.0, 167.0, 47.0, 78.0]]",image_4_19_30888.png,,,,, 212 
136,debugqfNOu:debugPHD9C,TRIAL,"[[605.0, 305.0, 76.0, 116.0]]",image_1_24_7461.png,,,,, 
137,debugqfNOu:debugPHD9C,TRIAL,"[[542.0, 228.0, 168.0, 194.0], [643.0, 228.0, 44.0, 57.0], [543.0, 375.0, 62.0, 41.0]]",trial_3.png,,,,,
138,debugqfNOu:debugPHD9C,postquestionnaire,[],,,,,,
139,debugqfNOu:debugPHD9C,postquestionnaire,[],,,,,,
140,debugwfTTt:debug0qFc6,INSTRUCTIONS,[],,,,,,
141,debugwfTTt:debug0qFc6,INSTRUCTIONS,[],,,,,,
142,debugwfTTt:debug0qFc6,INSTRUCTIONS,[],,,,,,
143,debugwfTTt:debug0qFc6,INSTRUCTIONS,[],,,,,,
144,debugwfTTt:debug0qFc6,INSTRUCTIONS,[],,,,,,
145,debugwfTTt:debug0qFc6,drivingquestionnaire,[],,,,,,
146,debugwfTTt:debug0qFc6,drivingquestionnaire,[],,5eaefec7c1324e5def56caf8,True,Less than 1 Year,Less than 1 hour,
147,debugwfTTt:debug0qFc6,TRIAL,"[[523.0, 145.0, 92.0, 74.0], [363.0, 22.0, 91.0, 63.0]]",trial_1.png,,,,,
148,debugwfTTt:debug0qFc6,TRIAL,"[[352.0, 85.0, 104.0, 59.0], [511.0, 11.0, 70.0, 62.0], [618.0, 262.0, 47.0, 62.0]]",trial_2.png,,,,,
149,debugwfTTt:debug0qFc6,TRIAL,"[[602.0, 236.0, 71.0, 85.0], [574.0, 376.0, 50.0, 71.0]]",image_2_24_15974.png,,,,, 1074 1113 
150,debugwfTTt:debug0qFc6,TRIAL,"[[400.0, 129.0, 90.0, 43.0], [652.0, 78.0, 76.0, 45.0], [621.0, 268.0, 41.0, 58.0], [362.0, 31.0, 93.0, 54.0]]",image_3_24_29635.png,,,,, 1471 1457 213 
151,debugwfTTt:debug0qFc6,TRIAL,"[[623.0, 471.0, 45.0, 71.0], [550.0, 264.0, 30.0, 55.0], [513.0, 218.0, 32.0, 51.0], [587.0, 312.0, 29.0, 54.0]]",image_0_24_10886.png,,,,, 915 924 920 925 
