,uniqueid,phase,annotations,image_name,pid,dl,exp,habit,vehicle_ids
0,debugUMnNg:debugDeEdh,INSTRUCTIONS,[],,,,,,
1,debugUMnNg:debugDeEdh,INSTRUCTIONS,[],,,,,,
2,debugUMnNg:debugDeEdh,INSTRUCTIONS,[],,,,,,
3,debugUMnNg:debugDeEdh,INSTRUCTIONS,[],,,,,,
4,debugUMnNg:debugDeEdh,INSTRUCTIONS,[],,,,,,
5,debugNaHBK:debugcGQbt,INSTRUCTIONS,[],,,,,,
6,debugNaHBK:debugcGQbt,INSTRUCTIONS,[],,,,,,
7,debugNaHBK:debugcGQbt,INSTRUCTIONS,[],,,,,,
8,debugNaHBK:debugcGQbt,INSTRUCTIONS,[],,,,,,
9,debugNaHBK:debugcGQbt,INSTRUCTIONS,[],,,,,,
10,debugNaHBK:debugcGQbt,drivingquestionnaire,[],,,,,,
11,debugNaHBK:debugcGQbt,drivingquestionnaire,[],,60c12fe6ca8c4aa6d0185190,True,More than 15 Years,More than 10 hours,
12,debugNaHBK:debugcGQbt,TRIAL,"[[534.3999633789062, 148.78749084472656, 65.0, 67.0], [386.3999938964844, 32.38749694824219, 41.0, 39.0]]",trial_1.png,,,,,
13,debugNaHBK:debugcGQbt,TRIAL,"[[628.3999633789062, 516.4249877929688, 31.0, 65.0], [625.3999633789062, 269.8249816894531, 27.0, 49.0]]",trial_2.png,,,,,
14,debugNaHBK:debugcGQbt,TRIAL,"[[589.3999633789062, 194.8249969482422, 52.0, 78.99998474121094], [585.3999633789062, 504.42498779296875, 43.0, 60.0]]",image_1_19_13662.png,,,,, 
15,debugNaHBK:debugcGQbt,TRIAL,"[[622.3999633789062, 502.8249816894531, 36.0, 76.00003051757812], [625.3999633789062, 220.8249969482422, 26.0, 58.99998474121094], [589.3999633789062, 376.8249816894531, 27.0, 54.0]]",image_1_31_10094.png,,,,, 
16,debugNaHBK:debugcGQbt,TRIAL,"[[574.3999633789062, 215.8249969482422, 35.0, 77.99998474121094], [627.3999633789062, 255.8249969482422, 26.0, 61.99998474121094], [625.3999633789062, 460.8249816894531, 27.0, 56.000030517578125]]",image_3_2_2240.png,,,,, 
17,debugNaHBK:debugcGQbt,TRIAL,[],image_4_19_30994.png,,,,, 
18,debugNaHBK:debugcGQbt,TRIAL,"[[668.3999633789062, 233.8249969482422, 57.0, 30.999984741210938]]",image_0_24_16921.png,,,,, 
19,debugNaHBK:debugcGQbt,TRIAL,"[[610.3999633789062, 489.8249816894531, 35.0, 64.00003051757812], [631.3999633789062, 216.8249969482422, 24.0, 54.99998474121094]]",image_1_31_988.png,,,,, 
20,debugNaHBK:debugcGQbt,TRIAL,"[[664.3999633789062, 323.42498779296875, 31.0, 64.0], [624.3999633789062, 200.4250030517578, 30.0, 63.99998474121094]]",image_2_31_18261.png,,,,, 
21,debugNaHBK:debugcGQbt,TRIAL,"[[696.3999633789062, 435.42498779296875, 59.0, 36.0]]",image_1_31_14979.png,,,,, 
22,debugNaHBK:debugcGQbt,TRIAL,"[[628.3999633789062, 191.8249969482422, 36.0, 61.0], [609.3999633789062, 81.82499694824219, 31.0, 58.0]]",image_2_24_19449.png,,,,, 
23,debugNaHBK:debugcGQbt,TRIAL,"[[608.3999633789062, 255.4250030517578, 43.0, 59.99998474121094], [629.3999633789062, 462.42498779296875, 39.0, 57.0]]",image_1_24_8438.png,,,,, 
24,debugNaHBK:debugcGQbt,TRIAL,"[[578.3999633789062, 367.42498779296875, 30.0, 55.0], [579.3999633789062, 211.42498779296875, 29.0, 52.0]]",image_2_2_7211.png,,,,, 
25,debugNaHBK:debugcGQbt,TRIAL,"[[584.3999633789062, 159.4250030517578, 29.0, 68.0], [628.3999633789062, 229.4250030517578, 28.0, 55.99998474121094]]",image_2_2_9809.png,,,,, 
26,debugNaHBK:debugcGQbt,TRIAL,"[[380.3999938964844, 171.8249969482422, 60.0, 31.0], [781.3999633789062, 140.8249969482422, 63.0, 26.0], [626.3999633789062, 457.8249816894531, 27.0, 56.000030517578125]]",image_0_19_18682.png,,,,, 
27,debugNaHBK:debugcGQbt,TRIAL,"[[641.3999633789062, 299.8249816894531, 37.0, 35.0], [590.3999633789062, 355.8249816894531, 22.0, 43.0]]",image_1_14_7553.png,,,,, 
28,debugNaHBK:debugcGQbt,TRIAL,"[[586.3999633789062, 331.42498779296875, 32.0, 62.0], [636.3999633789062, 291.42498779296875, 39.0, 38.0], [592.3999633789062, 190.4250030517578, 23.0, 44.0]]",image_1_19_19810.png,,,,, 
