,uniqueid,phase,annotations,image_name,pid,dl,exp,habit,vehicle_ids
0,debug72fL0:debugbusdm,INSTRUCTIONS,[],,,,,,
1,debug72fL0:debugbusdm,INSTRUCTIONS,[],,,,,,
2,debug72fL0:debugbusdm,INSTRUCTIONS,[],,,,,,
3,debug72fL0:debugbusdm,INSTRUCTIONS,[],,,,,,
4,debug72fL0:debugbusdm,INSTRUCTIONS,[],,,,,,
5,debug7jjnP:debugGxRVa,INSTRUCTIONS,[],,,,,,
6,debug7jjnP:debugGxRVa,INSTRUCTIONS,[],,,,,,
7,debug7jjnP:debugGxRVa,INSTRUCTIONS,[],,,,,,
8,debug7jjnP:debugGxRVa,INSTRUCTIONS,[],,,,,,
9,debug7jjnP:debugGxRVa,INSTRUCTIONS,[],,,,,,
10,debug7jjnP:debugGxRVa,drivingquestionnaire,[],,,,,,
11,debug7jjnP:debugGxRVa,drivingquestionnaire,[],,5dbbfa90c486791b1bd03292,False,Less than 1 Year,Less than 1 hour,
12,debug7jjnP:debugGxRVa,TRIAL,[],trial_1.png,,,,,
13,debug7jjnP:debugGxRVa,TRIAL,"[[649.0, 298.0, 28.0, 27.0]]",image_2_19_22175.png,,,,, 
14,debug7jjnP:debugGxRVa,TRIAL,"[[562.0, 191.0, 43.0, 60.0]]",image_0_19_28648.png,,,,, 
15,debug7jjnP:debugGxRVa,TRIAL,[],image_0_9_7363.png,,,,, 
16,debug7jjnP:debugGxRVa,TRIAL,"[[692.0, 386.0, 37.0, 79.0], [648.0, 397.0, 36.0, 73.0], [640.0, 225.0, 53.0, 80.0]]",image_2_31_11857.png,,,,, 
17,debug7jjnP:debugGxRVa,TRIAL,"[[583.0, 264.0, 38.0, 69.0], [506.0, 273.0, 39.0, 67.0], [625.0, 255.0, 34.0, 67.0], [548.0, 275.0, 31.0, 65.0], [528.0, 336.0, 14.0, 4.0], [583.0, 383.0, 38.0, 74.0]]",image_1_24_904.png,,,,, 
18,debug7jjnP:debugGxRVa,TRIAL,"[[591.0, 361.0, 28.0, 41.0], [564.0, 228.0, 41.0, 56.0]]",image_2_19_15531.png,,,,, 
19,debug7jjnP:debugGxRVa,TRIAL,"[[509.0, 330.0, 31.0, 57.0], [676.0, 154.0, 18.0, 21.0]]",image_0_24_2426.png,,,,, 
20,debug7jjnP:debugGxRVa,TRIAL,"[[649.0, 347.0, 43.0, 101.0], [659.0, 347.0, 33.0, 98.0], [667.0, 276.0, 60.0, 67.0]]",image_1_31_11694.png,,,,, 
21,debug7jjnP:debugGxRVa,TRIAL,"[[589.0, 234.0, 25.0, 43.0], [628.0, 180.0, 22.0, 36.0], [665.0, 141.0, 20.0, 27.0]]",image_3_24_9922.png,,,,, 
22,debug7jjnP:debugGxRVa,TRIAL,[],image_2_19_2316.png,,,,, 
23,debug7jjnP:debugGxRVa,TRIAL,"[[550.0, 272.0, 26.0, 57.0], [587.0, 296.0, 27.0, 51.0], [514.0, 236.0, 23.0, 48.0]]",image_0_24_2576.png,,,,, 
24,debug7jjnP:debugGxRVa,TRIAL,[],image_1_31_11026.png,,,,, 
25,debug7jjnP:debugGxRVa,TRIAL,[],image_0_14_5344.png,,,,, 
26,debug7jjnP:debugGxRVa,TRIAL,"[[630.0, 236.0, 23.0, 48.0], [587.0, 160.0, 25.0, 62.0]]",image_2_2_9809.png,,,,, 
27,debug7jjnP:debugGxRVa,TRIAL,"[[626.0, 252.0, 26.0, 59.0]]",image_2_14_2081.png,,,,, 
28,debug7jjnP:debugGxRVa,TRIAL,"[[644.0, 240.0, 31.0, 32.0]]",trial_3.png,,,,,
29,debug7jjnP:debugGxRVa,postquestionnaire,[],,,,,,
30,debug7jjnP:debugGxRVa,postquestionnaire,[],,,,,,
31,debugutQ74:debugy4doL,INSTRUCTIONS,[],,,,,,
32,debugutQ74:debugy4doL,INSTRUCTIONS,[],,,,,,
33,debugutQ74:debugy4doL,INSTRUCTIONS,[],,,,,,
34,debugutQ74:debugy4doL,INSTRUCTIONS,[],,,,,,
35,debugutQ74:debugy4doL,INSTRUCTIONS,[],,,,,,
36,debugutQ74:debugy4doL,drivingquestionnaire,[],,,,,,
37,debugutQ74:debugy4doL,drivingquestionnaire,[],,5d012930cfeb82001817c9c9,True,More than 10 Years,More than 1 hour,
38,debugutQ74:debugy4doL,TRIAL,[],trial_1.png,,,,,
39,debugutQ74:debugy4doL,TRIAL,"[[615.0, 326.0, 44.0, 68.0]]",image_6_19_35284.png,,,,, 
40,debugutQ74:debugy4doL,TRIAL,"[[585.0, 283.0, 33.0, 94.0], [631.0, 506.0, 28.0, 62.0], [631.0, 323.0, 23.0, 72.0], [672.0, 249.0, 30.0, 32.0], [621.0, 144.0, 43.0, 71.0]]",image_1_2_10141.png,,,,, 
41,debugutQ74:debugy4doL,TRIAL,"[[623.0, 325.0, 38.0, 63.0], [650.0, 486.0, 38.0, 71.0]]",image_3_19_33416.png,,,,, 
42,debugutQ74:debugy4doL,TRIAL,[],image_3_19_8539.png,,,,, 
43,debugutQ74:debugy4doL,TRIAL,"[[615.0, 323.0, 47.0, 73.0], [511.0, 331.0, 25.0, 55.0], [544.0, 353.0, 44.0, 28.0], [587.0, 330.0, 30.0, 57.0]]",image_0_19_4.png,,,,, 
44,debugutQ74:debugy4doL,TRIAL,"[[518.0, 115.0, 103.0, 40.0], [609.0, 319.0, 56.0, 60.0], [601.0, 498.0, 20.0, 59.0], [444.0, 638.0, 102.0, 42.0]]",image_2_19_13763.png,,,,, 
