,uniqueid,phase,annotations,image_name,vehicle_ids
5,debugJGDcA:debugLNENX,TRIAL,"[[666.0, 280.0, 34.0, 72.0]]",image_3_24_21493.png, 803 
6,debugJGDcA:debugLNENX,TRIAL,"[[584.0, 298.0, 40.0, 76.0]]",image_0_24_12776.png, 586 
7,debugJGDcA:debugLNENX,TRIAL,"[[577.0, 340.0, 42.0, 68.0], [631.0, 254.0, 34.0, 72.0]]",image_2_14_17272.png, 644 621 
8,debugJGDcA:debugLNENX,TRIAL,"[[641.0, 268.0, 39.0, 62.0]]",image_0_24_3447.png, 298 
9,debugJGDcA:debugLNENX,TRIAL,[],image_0_24_19441.png, 
10,debugJGDcA:debugLNENX,TRIAL,"[[624.0, 250.0, 33.0, 74.0]]",image_1_24_9070.png, 421 
11,debugJGDcA:debugLNENX,TRIAL,"[[617.0, 156.0, 42.0, 76.0], [653.0, 284.0, 47.0, 40.0]]",image_2_14_19368.png, 653 173 
12,debugJGDcA:debugLNENX,TRIAL,"[[578.0, 344.0, 45.0, 71.0], [614.0, 251.0, 43.0, 71.0]]",image_2_24_29747.png, 981 864 
13,debugJGDcA:debugLNENX,TRIAL,[],image_0_24_5412.png, 
14,debugJGDcA:debugLNENX,TRIAL,"[[541.0, 218.0, 74.0, 37.0]]",image_2_24_7647.png, 434 
15,debugJGDcA:debugLNENX,TRIAL,[],image_0_24_15332.png, 
16,debugJGDcA:debugLNENX,TRIAL,[],image_3_24_26410.png, 
17,debugJGDcA:debugLNENX,TRIAL,[],image_3_24_24762.png, 
18,debugJGDcA:debugLNENX,TRIAL,[],image_0_14_18420.png, 
19,debugJGDcA:debugLNENX,TRIAL,"[[614.0, 251.0, 52.0, 68.0]]",image_1_14_1854.png, 219 
