,uniqueid,phase,annotations,image_name,pid,dl,exp,habit,vehicle_ids
0,debuguOVBa:debugADZo7,INSTRUCTIONS,[],,,,,,
1,debuguOVBa:debugADZo7,INSTRUCTIONS,[],,,,,,
2,debuguOVBa:debugADZo7,INSTRUCTIONS,[],,,,,,
3,debuguOVBa:debugADZo7,INSTRUCTIONS,[],,,,,,
4,debuguOVBa:debugADZo7,INSTRUCTIONS,[],,,,,,
5,debuguOVBa:debugADZo7,drivingquestionnaire,[],,,,,,
6,debuguOVBa:debugADZo7,drivingquestionnaire,[],,614e79a64822e07bc5d55f90,True,More than 1 Year,Less than 1 hour,
7,debuguOVBa:debugADZo7,postquestionnaire,[],,,,,,
8,debuguOVBa:debugADZo7,postquestionnaire,[],,,,,,
9,debugjIxlj:debugIkt2F,INSTRUCTIONS,[],,,,,,
10,debugjIxlj:debugIkt2F,INSTRUCTIONS,[],,,,,,
11,debugjIxlj:debugIkt2F,INSTRUCTIONS,[],,,,,,
12,debugjIxlj:debugIkt2F,INSTRUCTIONS,[],,,,,,
13,debugjIxlj:debugIkt2F,INSTRUCTIONS,[],,,,,,
14,debugjIxlj:debugIkt2F,drivingquestionnaire,[],,,,,,
15,debugjIxlj:debugIkt2F,drivingquestionnaire,[],,614e79a64822e07bc5d55f90,False,Less than 1 Year,Less than 1 hour,
16,debugjIxlj:debugIkt2F,TRIAL,"[[582.0, 348.0, 39.0, 80.0], [618.0, 251.0, 44.0, 61.0]]",image_1_31_811.png,,,,, 
17,debugjIxlj:debugIkt2F,TRIAL,[],image_5_24_15516.png,,,,, 
18,debugjIxlj:debugIkt2F,TRIAL,"[[572.0, 176.0, 57.0, 69.0]]",image_1_9_6709.png,,,,, 
19,debugjIxlj:debugIkt2F,TRIAL,"[[623.0, 243.0, 35.0, 66.0], [580.0, 256.0, 39.0, 72.0]]",image_2_14_9415.png,,,,, 
20,debugjIxlj:debugIkt2F,TRIAL,"[[622.0, 191.0, 41.0, 57.0]]",image_2_19_28306.png,,,,, 
21,debugjIxlj:debugIkt2F,TRIAL,"[[624.0, 213.0, 33.0, 64.0]]",image_1_31_10094.png,,,,, 
22,debugjIxlj:debugIkt2F,TRIAL,"[[713.0, 123.0, 72.0, 44.0]]",image_0_19_31111.png,,,,, 
23,debugjIxlj:debugIkt2F,TRIAL,"[[582.0, 255.0, 41.0, 69.0]]",image_0_31_1152.png,,,,, 
24,debugjIxlj:debugIkt2F,TRIAL,[],image_0_24_2115.png,,,,, 
25,debugjIxlj:debugIkt2F,TRIAL,"[[716.0, 236.0, 48.0, 46.0]]",image_0_14_12276.png,,,,, 
26,debugjIxlj:debugIkt2F,TRIAL,"[[585.0, 186.0, 58.0, 76.0], [652.0, 432.0, 34.0, 68.0]]",image_1_31_5893.png,,,,, 
27,debugjIxlj:debugIkt2F,TRIAL,"[[602.0, 202.0, 58.0, 92.0], [658.0, 352.0, 47.0, 45.0]]",image_1_19_13464.png,,,,, 
28,debugjIxlj:debugIkt2F,TRIAL,"[[616.0, 236.0, 41.0, 91.0]]",image_1_24_22522.png,,,,, 
29,debugjIxlj:debugIkt2F,TRIAL,"[[645.0, 262.0, 33.0, 46.0]]",image_2_24_28154.png,,,,, 
30,debugjIxlj:debugIkt2F,TRIAL,"[[739.0, 0.0, 53.0, 50.0], [633.0, 512.0, 65.0, 81.0]]",image_0_24_7282.png,,,,, 
31,debugjIxlj:debugIkt2F,TRIAL,"[[634.0, 228.0, 47.0, 52.0]]",trial_3.png,,,,,
32,debugjIxlj:debugIkt2F,postquestionnaire,[],,,,,,
33,debugjIxlj:debugIkt2F,postquestionnaire,[],,,,,,
34,debuglzUK6:debugs0Fjz,INSTRUCTIONS,[],,,,,,
35,debuglzUK6:debugs0Fjz,INSTRUCTIONS,[],,,,,,
36,debuglzUK6:debugs0Fjz,INSTRUCTIONS,[],,,,,,
37,debuglzUK6:debugs0Fjz,INSTRUCTIONS,[],,,,,,
38,debuglzUK6:debugs0Fjz,INSTRUCTIONS,[],,,,,,
39,debuglzUK6:debugs0Fjz,INSTRUCTIONS,[],,,,,,
40,debuglzUK6:debugs0Fjz,INSTRUCTIONS,[],,,,,,
41,debuglzUK6:debugs0Fjz,INSTRUCTIONS,[],,,,,,
42,debuglzUK6:debugs0Fjz,INSTRUCTIONS,[],,,,,,
43,debuglzUK6:debugs0Fjz,INSTRUCTIONS,[],,,,,,
44,debuglzUK6:debugs0Fjz,drivingquestionnaire,[],,,,,,
45,debuglzUK6:debugs0Fjz,drivingquestionnaire,[],,63bc7c2d1df1bf4fd1f4c84f,True,More than 5 Year,More than 15 hours,
46,debuglzUK6:debugs0Fjz,TRIAL,"[[611.0, 481.0, 34.0, 72.0]]",image_1_31_988.png,,,,, 
47,debuglzUK6:debugs0Fjz,TRIAL,[],image_1_9_1124.png,,,,, 
48,debuglzUK6:debugs0Fjz,TRIAL,[],image_2_2_1292.png,,,,, 
49,debuglzUK6:debugs0Fjz,TRIAL,"[[636.0, 402.0, 72.0, 58.0]]",image_1_9_2703.png,,,,, 
50,debuglzUK6:debugs0Fjz,TRIAL,"[[624.0, 265.0, 33.0, 60.0]]",image_7_31_10157.png,,,,, 
51,debuglzUK6:debugs0Fjz,TRIAL,"[[616.0, 151.0, 46.0, 81.0]]",image_4_24_21520.png,,,,, 
52,debuglzUK6:debugs0Fjz,TRIAL,"[[605.0, 246.0, 50.0, 43.0]]",image_1_31_4593.png,,,,, 
53,debuglzUK6:debugs0Fjz,TRIAL,"[[670.0, 358.0, 49.0, 39.0]]",image_2_9_9028.png,,,,, 
54,debuglzUK6:debugs0Fjz,TRIAL,"[[638.0, 289.0, 43.0, 39.0]]",image_2_24_32177.png,,,,, 
55,debuglzUK6:debugs0Fjz,TRIAL,[],image_1_2_3425.png,,,,, 
56,debuglzUK6:debugs0Fjz,TRIAL,[],image_0_19_31111.png,,,,, 
